"Profile","Value"
1,0.107849219976497
2,1.97699589601944e-07
3,0.000678350353884268
4,0.010468618574983
5,1.51781224048678e-06
6,1.6376856807053e-05
7,0.199104600062256
8,0.000388719258261215
9,4.10014186251186e-06
10,2.13633161241638e-06
11,0.0101670609680575
12,0.000160523590681248
13,0.390911200255901
14,0.30063711709452
15,0.0970247365775697
16,3.93715732823977e-05
17,0.00797000453798702
18,0.000288849232338159
19,0.198499877069914
20,1.09517544871165
21,0.0587209808520683
22,0.0799691624210333
23,0.110840728135979
24,0.247988416641447
25,0.181925899638251
26,0.000778731397721135
27,0.00121857258767107
28,0.750792387008446
29,0.739886338750072
30,0.35314760321829
31,0.520427088096
32,0.00374498994552293
33,0.246072303378249
34,0.154001880406664
35,5.63453810356694e-06
36,0.000457261733187582
37,7.22577847373963e-06
38,0.0960741581745093
39,0.0907028691388971
40,0.0446900744749109
41,1.06230444478822
42,0.684751597049461
43,0.00642790401309205
44,0.00568067268413006
45,0.0137501461216992
46,0.00604241769288794
47,0.00385662831374553
48,0.10422236430758
49,0.102136074033431
50,0.468915003696245
