"Profile","Value"
1,1.34845680221143
2,0.0549601004424196
3,0.258860071200965
4,0.503327493481015
5,0.439934901462523
6,0.799765057802838
7,0.762310400949768
8,0.632547410867973
9,0.327275427804324
10,0.372923666989304
11,0.356769232521684
12,0.359263615064648
13,0.746231112373852
14,1.0588003315988
15,0.693828373321226
16,0.829078407006563
17,1.24113093753914
18,0.689136902302158
19,1.65452161479398
20,1.94731266761406
21,1.79872583938702
22,1.0661810744882
23,0.801157430526074
24,1.27598634080488
25,1.04252009469016
26,0.866761126458077
27,0.64512754488917
28,1.60100619245118
29,2.40209392881965
30,0.923630506915229
31,1.31200275424547
32,0.839780726660088
33,1.40224474808604
34,1.1464803815129
35,0.216246851163062
36,0.679144262406414
37,0.166099473228607
38,0.802435485928968
39,1.40697930808905
40,0.88174847418387
41,1.97678150592648
42,1.44751554962036
43,0.889174158699451
44,0.764670172438683
45,0.745493267381079
46,0.474786827228097
47,1.23570006124072
48,1.5847757981696
49,1.48713727511786
50,1.6900643812595
